Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,1,0.01,$0.55 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,1,0.01,$0.55 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,1,0.01,$0.55 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,1,0.01,$0.55 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,5,0.01,$2.74 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,1,0.01,$0.55 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,2,0.01,$1.10 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,1,0.01,$0.55 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,1,0.01,$0.55 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,2,0.01,$1.10 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,1,0.01,$0.55 
2/6/2025,2/6/2025,2/7/2025,LCID,LCID 2/28/2025 Put $2.50,STO,1,0.01,$0.55 
2/7/2025,2/7/2025,2/10/2025,LCID,Option Expiration for LCID 2/7/2025 Put $2.50,OEXP,200,,$0.00 
2/7/2025,2/7/2025,2/10/2025,MSTX,MSTX 3/7/2025 Call $55.00,BTC,15,0.16,($232.53)
2/7/2025,2/7/2025,2/10/2025,MSTX,MSTX 3/7/2025 Call $55.00,STO,3,0.2,$59.99 
2/7/2025,2/7/2025,2/10/2025,MSTX,MSTX 3/7/2025 Call $55.00,STO,5,0.2,$99.99 
2/7/2025,2/7/2025,2/10/2025,MSTX,MSTX 3/7/2025 Call $55.00,STO,5,0.2,$99.99 
2/7/2025,2/7/2025,2/10/2025,MSTX,MSTX 3/7/2025 Call $55.00,STO,1,0.2,$20.00 
2/7/2025,2/7/2025,2/10/2025,MSTX,MSTX 3/7/2025 Call $55.00,STO,1,0.2,$20.00 
2/7/2025,2/7/2025,2/7/2025,MSTX,Stock Lending,SLIP,,,$1.50 
2/11/2025,2/11/2025,2/12/2025,MSTX,MSTX 2/28/2025 Call $54.00,STO,13,0.05,$70.82 
2/11/2025,2/11/2025,2/12/2025,MSTX,MSTX 2/28/2025 Call $54.00,STO,9,0.05,$49.03 
2/18/2025,2/18/2025,2/18/2025,,Gold Subscription Fee,GOLD,,,($0.25)
2/26/2025,2/26/2025,2/27/2025,MSTX,MSTX 2/28/2025 Put $24.00,STO,20,0.07,$134.95 
2/28/2025,2/28/2025,3/3/2025,MSTX,MSTX 2/28/2025 Put $24.00,OASGN,20,,$0.00 
2/28/2025,2/28/2025,3/3/2025,MSTX,"Tidal Trust II Defiance Daily Target 2x Long MSTR ETF
20 MSTX Options Assigned",Buy,2000,1.2,"($2,400.00)"
2/28/2025,2/28/2025,3/3/2025,LCID,LCID 2/28/2025 Put $2.50,OASGN,200,,$0.00 
2/28/2025,2/28/2025,3/3/2025,LCID,"Lucid Group
200 LCID Options Assigned",Buy,20000,0.13,"($2,500.00)"
2/28/2025,2/28/2025,3/3/2025,MSTX,Option Expiration for MSTX 2/28/2025 Call $54.00,OEXP,22,,$0.00 
2/28/2025,2/28/2025,2/28/2025,,Interest Payment,INT,,,$13.90 
3/3/2025,3/3/2025,3/3/2025,,Gold Deposit Boost Payment,GDBP,,,$1.69 
3/4/2025,3/4/2025,3/5/2025,MSTX,MSTX 3/14/2025 Call $36.00,STO,42,0.02,$62.91 
3/4/2025,3/4/2025,3/5/2025,LCID,LCID 3/7/2025 Call $2.50,STO,1,0,$0.05 
3/4/2025,3/4/2025,3/5/2025,LCID,LCID 3/7/2025 Call $2.50,STO,196,0,$9.38 
3/4/2025,3/4/2025,3/5/2025,LCID,LCID 3/7/2025 Call $2.50,STO,2,0,$0.20 
3/4/2025,3/4/2025,3/5/2025,LCID,LCID 3/7/2025 Call $2.50,STO,1,0,$0.05 
3/7/2025,3/7/2025,3/10/2025,LCID,Option Expiration for LCID 3/7/2025 Call $2.50,OEXP,200,,$0.00 
3/7/2025,3/7/2025,3/7/2025,MSTX,Stock Lending,SLIP,,,$0.17 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,1,0,$0.35 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,27,0,$9.39 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,42,0,$14.61 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,1,0,$0.35 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,5,0,$1.74 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,27,0,$9.39 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,2,0,$0.70 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,2,0,$0.70 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,48,0,$16.70 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,1,0,$0.35 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,1,0,$0.35 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,2,0,$0.70 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,1,0,$0.35 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,1,0,$0.35 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,5,0,$1.74 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,12,0,$4.17 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,1,0,$0.35 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,1,0,$0.35 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,1,0,$0.35 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,6,0,$2.09 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,5,0,$1.74 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,1,0,$0.35 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,5,0,$1.74 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,1,0,$0.35 
3/12/2025,3/12/2025,3/13/2025,LCID,LCID 3/28/2025 Call $2.50,STO,1,0,$0.35 
3/14/2025,3/14/2025,3/17/2025,MSTX,Option Expiration for MSTX 3/14/2025 Call $36.00,OEXP,42,,$0.00 
3/17/2025,3/17/2025,3/17/2025,,Gold Subscription Fee,GOLD,,,($0.25)
3/28/2025,3/28/2025,3/31/2025,LCID,Option Expiration for LCID 3/28/2025 Call $2.50,OEXP,200,,$0.00 
3/31/2025,3/31/2025,3/31/2025,,Interest Payment,INT,,,$9.55 
3/31/2025,3/31/2025,4/1/2025,LCID,LCID 4/17/2025 Call $2.50,STO,200,0.01,$139.53 
3/31/2025,3/31/2025,4/1/2025,MSTX,MSTX 4/25/2025 Call $40.00,STO,21,0.06,$115.45 
3/31/2025,3/31/2025,4/1/2025,MSTX,MSTX 4/25/2025 Call $40.00,STO,21,0.06,$115.45 
4/1/2025,4/1/2025,4/1/2025,,Gold Deposit Boost Payment,GDBP,,,$1.69 
4/7/2025,4/7/2025,4/7/2025,LCID,Stock Lending,SLIP,,,$0.00 
4/7/2025,4/7/2025,4/7/2025,MSTX,Stock Lending,SLIP,,,$3.64 
4/16/2025,4/16/2025,4/16/2025,,Gold Subscription Fee,GOLD,,,($0.25)
4/17/2025,4/17/2025,4/21/2025,LCID,Option Expiration for LCID 4/17/2025 Call $2.50,OEXP,200,,$0.00 
4/25/2025,4/25/2025,4/28/2025,MSTX,Option Expiration for MSTX 4/25/2025 Call $40.00,OEXP,42,,$0.00 
4/28/2025,4/28/2025,4/29/2025,LCID,LCID 5/2/2025 Call $3.00,STO,12,0,$1.17 
4/29/2025,4/29/2025,4/30/2025,LCID,LCID 5/9/2025 Call $3.00,BTO,178,0,($44.89)
4/29/2025,4/29/2025,4/30/2025,LCID,LCID 5/9/2025 Call $3.00,BTO,2,0,($0.50)
4/29/2025,4/29/2025,4/30/2025,LCID,LCID 5/9/2025 Call $3.00,BTO,8,0,($2.02)
4/29/2025,4/29/2025,4/30/2025,MSTX,MSTX 5/2/2025 Call $42.00,STO,42,0.04,$146.90 
4/30/2025,4/30/2025,4/30/2025,,Interest Payment,INT,,,$10.61 
5/1/2025,5/1/2025,5/1/2025,,Gold Deposit Boost Payment,GDBP,,,$1.69 
5/2/2025,5/2/2025,5/5/2025,LCID,Option Expiration for LCID 5/2/2025 Call $3.00,OEXP,12,,$0.00 
5/2/2025,5/2/2025,5/5/2025,MSTX,MSTX 5/9/2025 Call $50.00,STO,22,0.02,$49.45 
5/2/2025,5/2/2025,5/5/2025,MSTX,MSTX 5/2/2025 Call $42.00,BTC,42,0.03,($115.59)
5/2/2025,5/2/2025,5/5/2025,LCID,LCID 5/9/2025 Call $3.00,STC,1,0,$0.30 
5/2/2025,5/2/2025,5/5/2025,LCID,LCID 5/9/2025 Call $3.00,STC,1,0,$0.30 
5/2/2025,5/2/2025,5/5/2025,LCID,LCID 5/9/2025 Call $3.00,STC,10,0,$2.98 
5/2/2025,5/2/2025,5/5/2025,LCID,LCID 5/9/2025 Call $3.00,STC,37,0,$11.01 
5/5/2025,5/5/2025,5/6/2025,LCID,LCID 5/9/2025 Call $3.00,STO,106,0,$15.65 
5/5/2025,5/5/2025,5/6/2025,LCID,LCID 5/9/2025 Call $3.00,STO,9,0,$1.33 
5/5/2025,5/5/2025,5/6/2025,LCID,LCID 5/9/2025 Call $3.00,STO,1,0,$0.15 
5/5/2025,5/5/2025,5/6/2025,LCID,LCID 5/9/2025 Call $3.00,STO,1,0,$0.15 
5/5/2025,5/5/2025,5/6/2025,LCID,LCID 5/9/2025 Call $3.00,STO,83,0,$12.26 
5/5/2025,5/5/2025,5/6/2025,LCID,LCID 5/9/2025 Call $3.00,STC,6,0,$0.89 
5/5/2025,5/5/2025,5/6/2025,LCID,LCID 5/9/2025 Call $3.00,STC,100,0,$14.77 
5/5/2025,5/5/2025,5/6/2025,LCID,LCID 5/9/2025 Call $3.00,STC,33,0,$4.87 
5/5/2025,5/5/2025,5/6/2025,MSTX,MSTX 5/9/2025 Call $43.00,STO,20,0.04,$77.95 
